Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-08-01,104,79,91.5,-3.6,0,27,T,0.0,0
1990-08-02,102,76,89.0,-6.1,0,24,0.00,0.0,0
1990-08-03,105,75,90.0,-5.0,0,25,0.33,0.0,0
1990-08-04,103,79,91.0,-4.0,0,26,0.00,0.0,0
1990-08-05,108,85,96.5,1.6,0,32,T,0.0,0
1990-08-06,105,87,96.0,1.1,0,31,0.01,0.0,0
1990-08-07,102,81,91.5,-3.3,0,27,0.00,0.0,0
1990-08-08,108,85,96.5,1.7,0,32,0.00,0.0,0
1990-08-09,110,86,98.0,3.3,0,33,0.00,0.0,0
1990-08-10,111,88,99.5,4.8,0,35,0.00,0.0,0
1990-08-11,105,75,90.0,-4.6,0,25,0.38,0.0,0
1990-08-12,98,76,87.0,-7.6,0,22,0.05,0.0,0
1990-08-13,94,78,86.0,-8.6,0,21,T,0.0,0
1990-08-14,78,71,74.5,-20.0,0,10,1.20,0.0,0
1990-08-15,88,70,79.0,-15.5,0,14,0.73,0.0,0
1990-08-16,97,77,87.0,-7.4,0,22,0.00,0.0,0
1990-08-17,100,79,89.5,-4.9,0,25,0.00,0.0,0
1990-08-18,103,81,92.0,-2.3,0,27,0.00,0.0,0
1990-08-19,102,79,90.5,-3.8,0,26,0.00,0.0,0
1990-08-20,102,82,92.0,-2.2,0,27,0.00,0.0,0
1990-08-21,102,76,89.0,-5.2,0,24,0.00,0.0,0
1990-08-22,104,77,90.5,-3.6,0,26,0.00,0.0,0
1990-08-23,105,77,91.0,-3.0,0,26,0.00,0.0,0
1990-08-24,106,77,91.5,-2.5,0,27,0.00,0.0,0
1990-08-25,102,75,88.5,-5.4,0,24,0.00,0.0,0
1990-08-26,102,77,89.5,-4.3,0,25,0.00,0.0,0
1990-08-27,102,82,92.0,-1.7,0,27,0.00,0.0,0
1990-08-28,105,82,93.5,-0.1,0,29,0.00,0.0,0
1990-08-29,108,86,97.0,3.5,0,32,0.00,0.0,0
1990-08-30,106,85,95.5,2.1,0,31,0.00,0.0,0
1990-08-31,96,81,88.5,-4.7,0,24,T,0.0,0
