Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-11-01,85,66,75.5,4.4,0,11,0.00,0.0,0
1990-11-02,73,57,65.0,-5.7,0,0,0.11,0.0,0
1990-11-03,70,50,60.0,-10.3,5,0,0.00,0.0,0
1990-11-04,74,49,61.5,-8.4,3,0,0.00,0.0,0
1990-11-05,78,51,64.5,-5.0,0,0,0.00,0.0,0
1990-11-06,75,52,63.5,-5.6,1,0,0.00,0.0,0
1990-11-07,68,49,58.5,-10.2,6,0,0.00,0.0,0
1990-11-08,72,48,60.0,-8.3,5,0,0.00,0.0,0
1990-11-09,83,51,67.0,-0.9,0,2,0.00,0.0,0
1990-11-10,87,55,71.0,3.5,0,6,0.00,0.0,0
1990-11-11,88,56,72.0,4.9,0,7,0.00,0.0,0
1990-11-12,87,61,74.0,7.4,0,9,0.00,0.0,0
1990-11-13,89,61,75.0,8.8,0,10,0.00,0.0,0
1990-11-14,88,63,75.5,9.7,0,11,0.00,0.0,0
1990-11-15,87,59,73.0,7.7,0,8,0.00,0.0,0
1990-11-16,87,57,72.0,7.1,0,7,0.00,0.0,0
1990-11-17,86,63,74.5,10.0,0,10,0.00,0.0,0
1990-11-18,84,58,71.0,7.0,0,6,0.00,0.0,0
1990-11-19,80,59,69.5,5.9,0,5,0.00,0.0,0
1990-11-20,70,57,63.5,0.3,1,0,0.02,0.0,0
1990-11-21,71,53,62.0,-0.7,3,0,0.00,0.0,0
1990-11-22,77,48,62.5,0.2,2,0,0.00,0.0,0
1990-11-23,80,50,65.0,3.1,0,0,0.00,0.0,0
1990-11-24,82,55,68.5,7.1,0,4,0.00,0.0,0
1990-11-25,81,58,69.5,8.5,0,5,0.00,0.0,0
1990-11-26,67,50,58.5,-2.1,6,0,0.02,0.0,0
1990-11-27,61,42,51.5,-8.7,13,0,0.00,0.0,0
1990-11-28,66,40,53.0,-6.8,12,0,0.00,0.0,0
1990-11-29,74,45,59.5,0.1,5,0,0.00,0.0,0
1990-11-30,74,49,61.5,2.4,3,0,0.00,0.0,0
