Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-06-01,107,77,92.0,4.7,0,27,0.00,0.0,0
2024-06-02,105,77,91.0,3.4,0,26,0.00,0.0,0
2024-06-03,103,77,90.0,2.1,0,25,0.00,0.0,0
2024-06-04,104,79,91.5,3.3,0,27,0.00,0.0,0
2024-06-05,108,82,95.0,6.4,0,30,0.00,0.0,0
2024-06-06,113,85,99.0,10.1,0,34,0.00,0.0,0
2024-06-07,113,87,100.0,10.8,0,35,0.00,0.0,0
2024-06-08,108,84,96.0,6.5,0,31,0.00,0.0,0
2024-06-09,107,82,94.5,4.7,0,30,0.00,0.0,0
2024-06-10,109,80,94.5,4.4,0,30,0.00,0.0,0
2024-06-11,113,81,97.0,6.6,0,32,0.00,0.0,0
2024-06-12,111,83,97.0,6.3,0,32,0.00,0.0,0
2024-06-13,108,86,97.0,6.1,0,32,0.00,0.0,0
2024-06-14,107,83,95.0,3.8,0,30,0.00,0.0,0
2024-06-15,112,82,97.0,5.5,0,32,0.00,0.0,0
2024-06-16,112,84,98.0,6.2,0,33,0.00,0.0,0
2024-06-17,108,82,95.0,3.0,0,30,0.00,0.0,0
2024-06-18,105,80,92.5,0.2,0,28,0.00,0.0,0
2024-06-19,106,83,94.5,2.0,0,30,0.00,0.0,0
2024-06-20,115,83,99.0,6.2,0,34,0.00,0.0,0
2024-06-21,117,92,104.5,11.5,0,40,0.00,0.0,0
2024-06-22,108,92,100.0,6.8,0,35,0.00,0.0,0
2024-06-23,109,91,100.0,6.6,0,35,0.00,0.0,0
2024-06-24,112,89,100.5,6.9,0,36,0.01,0.0,0
2024-06-25,108,86,97.0,3.2,0,32,T,0.0,0
2024-06-26,111,85,98.0,4.0,0,33,0.00,0.0,0
2024-06-27,112,95,103.5,9.3,0,39,0.00,0.0,0
2024-06-28,112,92,102.0,7.6,0,37,0.00,0.0,0
2024-06-29,110,89,99.5,5.0,0,35,0.00,0.0,0
2024-06-30,110,90,100.0,5.3,0,35,T,0.0,0
