Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-02-01,81,55,68.0,9.8,0,3,0.38,0.0,0
2024-02-02,63,52,57.5,-0.8,7,0,0.21,0.0,0
2024-02-03,64,46,55.0,-3.4,10,0,0.0,0.0,0
2024-02-04,70,49,59.5,1.0,5,0,0.0,0.0,0
2024-02-05,75,53,64.0,5.4,1,0,0.0,0.0,0
2024-02-06,66,50,58.0,-0.7,7,0,0.22,0.0,0
2024-02-07,62,49,55.5,-3.3,9,0,0.12,0.0,0
2024-02-08,58,43,50.5,-8.4,14,0,0.22,0.0,0
2024-02-09,60,40,50.0,-9.0,15,0,0.0,0.0,0
2024-02-10,59,45,52.0,-7.1,13,0,0.17,0.0,0
2024-02-11,62,40,51.0,-8.2,14,0,0.0,0.0,0
2024-02-12,67,42,54.5,-4.8,10,0,0.0,0.0,0
2024-02-13,71,45,58.0,-1.5,7,0,0.0,0.0,0
2024-02-14,71,46,58.5,-1.1,6,0,0.0,0.0,0
2024-02-15,74,48,61.0,1.3,4,0,0.0,0.0,0
2024-02-16,72,48,60.0,0.1,5,0,0.0,0.0,0
2024-02-17,75,51,63.0,2.9,2,0,0.0,0.0,0
2024-02-18,77,51,64.0,3.8,1,0,0.0,0.0,0
2024-02-19,80,54,67.0,6.6,0,2,0.0,0.0,0
2024-02-20,82,53,67.5,6.9,0,3,0.0,0.0,0
2024-02-21,76,56,66.0,5.2,0,1,T,0.0,0
2024-02-22,76,54,65.0,4.0,0,0,0.0,0.0,0
2024-02-23,81,53,67.0,5.8,0,2,0.0,0.0,0
2024-02-24,78,58,68.0,6.6,0,3,0.0,0.0,0
2024-02-25,84,59,71.5,9.9,0,7,0.0,0.0,0
2024-02-26,76,63,69.5,7.6,0,5,0.0,0.0,0
2024-02-27,76,57,66.5,4.4,0,2,0.0,0.0,0
2024-02-28,80,55,67.5,5.2,0,3,0.0,0.0,0
2024-02-29,76,54,65.0,2.5,0,0,0.0,0.0,M
