Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-01-01,68,42,55,-0.2,10,0,0.00,0.0,0
1990-01-02,66,43,54.5,-0.8,10,0,0.16,0.0,0
1990-01-03,55,42,48.5,-6.9,16,0,0.03,0.0,0
1990-01-04,59,36,47.5,-8.0,17,0,0.00,0.0,0
1990-01-05,61,36,48.5,-7.1,16,0,0.00,0.0,0
1990-01-06,65,40,52.5,-3.2,12,0,0.00,0.0,0
1990-01-07,62,39,50.5,-5.4,14,0,0.00,0.0,0
1990-01-08,68,40,54.0,-2.0,11,0,0.00,0.0,0
1990-01-09,73,44,58.5,2.4,6,0,0.00,0.0,0
1990-01-10,84,48,66.0,9.8,0,1,0.00,0.0,0
1990-01-11,82,54,68.0,11.7,0,3,0.00,0.0,0
1990-01-12,78,52,65.0,8.5,0,0,0.00,0.0,0
1990-01-13,75,57,66.0,9.4,0,1,0.00,0.0,0
1990-01-14,71,49,60.0,3.3,5,0,0.00,0.0,0
1990-01-15,66,51,58.5,1.7,6,0,0.03,0.0,0
1990-01-16,63,46,54.5,-2.4,10,0,0.00,0.0,0
1990-01-17,57,43,50.0,-7.0,15,0,0.57,0.0,0
1990-01-18,52,42,47.0,-10.1,18,0,0.01,0.0,0
1990-01-19,55,37,46.0,-11.2,19,0,0.00,0.0,0
1990-01-20,59,37,48.0,-9.3,17,0,0.00,0.0,0
1990-01-21,69,39,54.0,-3.4,11,0,0.00,0.0,0
1990-01-22,67,51,59.0,1.5,6,0,0.00,0.0,0
1990-01-23,73,47,60.0,2.5,5,0,0.00,0.0,0
1990-01-24,72,46,59.0,1.4,6,0,0.00,0.0,0
1990-01-25,70,41,55.5,-2.2,9,0,0.00,0.0,0
1990-01-26,70,43,56.5,-1.3,8,0,0.00,0.0,0
1990-01-27,68,40,54.0,-3.9,11,0,0.00,0.0,0
1990-01-28,66,38,52.0,-5.9,13,0,0.00,0.0,0
1990-01-29,70,40,55.0,-3.0,10,0,0.00,0.0,0
1990-01-30,71,44,57.5,-0.6,7,0,0.00,0.0,0
1990-01-31,70,53,61.5,3.3,3,0,0.00,0.0,0
