Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-09-01,96,83,89.5,-3.6,0,25,T,0.0,0
1990-09-02,102,74,88.0,-4.9,0,23,0.22,0.0,0
1990-09-03,104,75,89.5,-3.3,0,25,0.03,0.0,0
1990-09-04,100,76,88.0,-4.6,0,23,0.00,0.0,0
1990-09-05,94,74,84.0,-8.4,0,19,0.06,0.0,0
1990-09-06,100,79,89.5,-2.7,0,25,0.00,0.0,0
1990-09-07,105,82,93.5,1.5,0,29,0.00,0.0,0
1990-09-08,108,84,96.0,4.2,0,31,0.00,0.0,0
1990-09-09,110,86,98.0,6.5,0,33,0.00,0.0,0
1990-09-10,111,84,97.5,6.2,0,33,0.00,0.0,0
1990-09-11,112,85,98.5,7.5,0,34,0.00,0.0,0
1990-09-12,105,83,94.0,3.3,0,29,0.00,0.0,0
1990-09-13,105,83,94.0,3.6,0,29,0.00,0.0,0
1990-09-14,100,70,85.0,-5.1,0,20,0.30,0.0,0
1990-09-15,88,69,78.5,-11.3,0,14,0.06,0.0,0
1990-09-16,95,73,84.0,-5.5,0,19,0.00,0.0,0
1990-09-17,98,77,87.5,-1.7,0,23,0.00,0.0,0
1990-09-18,98,77,87.5,-1.3,0,23,0.00,0.0,0
1990-09-19,97,72,84.5,-3.9,0,20,0.00,0.0,0
1990-09-20,93,67,80.0,-8.1,0,15,0.44,0.0,0
1990-09-21,95,72,83.5,-4.2,0,19,T,0.0,0
1990-09-22,95,71,83.0,-4.3,0,18,0.00,0.0,0
1990-09-23,97,77,87.0,0.1,0,22,0.00,0.0,0
1990-09-24,96,76,86.0,-0.5,0,21,0.00,0.0,0
1990-09-25,100,76,88.0,1.9,0,23,0.00,0.0,0
1990-09-26,99,75,87.0,1.3,0,22,0.00,0.0,0
1990-09-27,99,72,85.5,0.2,0,21,0.00,0.0,0
1990-09-28,94,71,82.5,-2.4,0,18,0.00,0.0,0
1990-09-29,93,69,81.0,-3.4,0,16,0.00,0.0,0
1990-09-30,82,70,76.0,-8.0,0,11,0.00,0.0,0
