Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-07-01,109,86,97.5,2.7,0,33,0.03,0.0,0
2024-07-02,113,92,102.5,7.5,0,38,0.00,0.0,0
2024-07-03,113,93,103.0,7.9,0,38,0.00,0.0,0
2024-07-04,113,91,102.0,6.8,0,37,0.00,0.0,0
2024-07-05,118,93,105.5,10.2,0,41,0.00,0.0,0
2024-07-06,114,91,102.5,7.1,0,38,0.00,0.0,0
2024-07-07,114,92,103.0,7.5,0,38,0.00,0.0,0
2024-07-08,118,91,104.5,9.0,0,40,0.00,0.0,0
2024-07-09,116,91,103.5,7.9,0,39,0.00,0.0,0
2024-07-10,115,92,103.5,7.8,0,39,0.00,0.0,0
2024-07-11,115,93,104.0,8.3,0,39,0.00,0.0,0
2024-07-12,116,91,103.5,7.8,0,39,0.00,0.0,0
2024-07-13,112,94,103.0,7.2,0,38,0.00,0.0,0
2024-07-14,109,84,96.5,0.7,0,32,0.33,0.0,0
2024-07-15,109,86,97.5,1.7,0,33,0.00,0.0,0
2024-07-16,109,89,99.0,3.2,0,34,0.00,0.0,0
2024-07-17,111,90,100.5,4.7,0,36,0.00,0.0,0
2024-07-18,111,93,102.0,6.2,0,37,T,0.0,0
2024-07-19,112,92,102.0,6.3,0,37,0.00,0.0,0
2024-07-20,113,93,103.0,7.3,0,38,0.00,0.0,0
2024-07-21,111,89,100.0,4.3,0,35,0.02,0.0,0
2024-07-22,111,85,98.0,2.4,0,33,0.00,0.0,0
2024-07-23,113,93,103.0,7.4,0,38,0.00,0.0,0
2024-07-24,114,93,103.5,7.9,0,39,T,0.0,0
2024-07-25,112,82,97.0,1.5,0,32,T,0.0,0
2024-07-26,110,82,96.0,0.5,0,31,0.00,0.0,0
2024-07-27,112,88,100.0,4.6,0,35,0.00,0.0,0
2024-07-28,111,89,100.0,4.6,0,35,0.00,0.0,0
2024-07-29,109,88,98.5,3.2,0,34,0.00,0.0,0
2024-07-30,109,89,99.0,3.8,0,34,0.00,0.0,M
2024-07-31,110,90,100.0,4.8,0,35,0.00,0.0,M
