Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-10-01,113,84,98.5,14.9,0,34,0.00,0.0,0
2024-10-02,108,86,97.0,13.9,0,32,0.00,0.0,0
2024-10-03,109,82,95.5,12.8,0,31,0.00,0.0,0
2024-10-04,108,81,94.5,12.2,0,30,0.00,0.0,0
2024-10-05,111,80,95.5,13.6,0,31,0.00,0.0,0
2024-10-06,113,80,96.5,15.1,0,32,0.00,0.0,0
2024-10-07,110,81,95.5,14.5,0,31,0.00,0.0,0
2024-10-08,108,81,94.5,13.9,0,30,0.00,0.0,0
2024-10-09,106,79,92.5,12.3,0,28,0.00,0.0,0
2024-10-10,107,78,92.5,12.8,0,28,0.00,0.0,0
2024-10-11,104,78,91.0,11.7,0,26,0.00,0.0,0
2024-10-12,104,76,90.0,11.1,0,25,0.00,0.0,0
2024-10-13,103,75,89.0,10.5,0,24,0.00,0.0,0
2024-10-14,103,75,89.0,10.9,0,24,0.00,0.0,0
2024-10-15,99,73,86.0,8.3,0,21,0.00,0.0,0
2024-10-16,99,71,85.0,7.7,0,20,0.00,0.0,0
2024-10-17,90,72,81.0,4.1,0,16,0.00,0.0,0
2024-10-18,79,63,71.0,-5.5,0,6,T,0.0,0
2024-10-19,74,59,66.5,-9.6,0,2,T,0.0,0
2024-10-20,82,59,70.5,-5.2,0,6,0.00,0.0,0
2024-10-21,90,61,75.5,0.2,0,11,0.00,0.0,0
2024-10-22,95,62,78.5,3.5,0,14,0.00,0.0,0
2024-10-23,98,67,82.5,7.9,0,18,0.00,0.0,0
2024-10-24,96,66,81.0,6.8,0,16,0.00,0.0,0
2024-10-25,97,65,81.0,7.2,0,16,0.00,0.0,0
2024-10-26,100,66,83.0,9.6,0,18,0.00,0.0,0
2024-10-27,96,69,82.5,9.4,0,18,0.00,0.0,0
2024-10-28,95,64,79.5,6.8,0,15,T,0.0,0
2024-10-29,79,62,70.5,-1.8,0,6,0.00,0.0,0
2024-10-30,77,55,66.0,-5.9,0,1,0.00,0.0,0
2024-10-31,81,54,67.5,-4.0,0,3,0.00,0.0,0
